meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,566.8999999985099,565.93,615.969,14498.39999999851,13882.430999998509,14502.39999999851,2021-10-28T14:24:59.201Z,14576.563,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,14572.599999997765,14559.826,14576.563,36954,22377.436999999998,36955.199999999255,2021-10-28T14:25:21.654Z,37070.476,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,37059.599999997765,37052.895,37070.476,82902.79999999702,45832.32399999702,82903.59999999776,2021-10-28T14:26:07.603Z,82927.383,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,82908.89999999851,82907.224,82927.383,88429.39999999851,5502.016999998508,88430.19999999925,2021-10-28T14:26:13.129Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,512.5999999977648,565.93,615.969,88429.39999999851,87813.43099999851,88434.09999999776,2021-10-28T14:26:13.133Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,88437,,,88437,,88437.09999999776,2021-10-28T14:26:13.136Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,88438.59999999776,,,88437,,88438.79999999702,2021-10-28T14:26:13.138Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,88440.5,,,88437,,88440.59999999776,2021-10-28T14:26:13.139Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,88442.19999999925,,,88437,,88442.5,2021-10-28T14:26:13.141Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,88435.19999999925,,,88437,,88442.69999999925,2021-10-28T14:26:13.142Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,88444.5,,,88444.5,,88444.59999999776,2021-10-28T14:26:13.144Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,88445.89999999851,,,88444.5,,88446,2021-10-28T14:26:13.145Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,88447.5,,,88444.5,,88447.69999999925,2021-10-28T14:26:13.147Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,88449,,,88444.5,,88449.09999999776,2021-10-28T14:26:13.148Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,88443.39999999851,,,88444.5,,88449.29999999702,2021-10-28T14:26:13.148Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,88452.09999999776,,,88452.09999999776,,88452.09999999776,2021-10-28T14:26:13.151Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,88453.5,,,88452.09999999776,,88454.39999999851,2021-10-28T14:26:13.153Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,88455.19999999925,,,88452.09999999776,,88455.19999999925,2021-10-28T14:26:13.154Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,88455.79999999702,,,88452.09999999776,,88455.79999999702,2021-10-28T14:26:13.155Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,88449.89999999851,,,88452.09999999776,,88455.79999999702,2021-10-28T14:26:13.155Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,88456.59999999776,,,88456.59999999776,,88456.59999999776,2021-10-28T14:26:13.156Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,88457.09999999776,,,88456.59999999776,,88457.09999999776,2021-10-28T14:26:13.156Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,88457.59999999776,,,88456.59999999776,,88457.69999999925,2021-10-28T14:26:13.157Z,88537.524,1635431069,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
