meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,565.0999999940395,559.623,576.289,34358.29999999702,33782.01099999702,34363.70000000298,2021-11-03T09:32:08.728Z,34491.599,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,34487,34474.933,34491.599,52010.40000000596,17518.80100000596,52014.5,2021-11-03T09:32:26.379Z,52126.747,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,52123.90000000596,52110.081,52126.747,62247.5,10120.752999999997,62251.09999999404,2021-11-03T09:32:36.615Z,62259.675,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,62256,62243.009,62259.675,65276.09999999404,3016.4249999940366,65279.09999999404,2021-11-03T09:32:39.643Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,519.9000000059605,559.623,576.289,65276.09999999404,64699.81099999404,65281.90000000596,2021-11-03T09:32:39.646Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,65286.20000000298,,,65286.20000000298,,65286.40000000596,2021-11-03T09:32:39.650Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,65287.70000000298,,,65286.20000000298,,65287.70000000298,2021-11-03T09:32:39.652Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,65288.70000000298,,,65286.20000000298,,65288.90000000596,2021-11-03T09:32:39.653Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,65289.70000000298,,,65286.20000000298,,65290.20000000298,2021-11-03T09:32:39.654Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,65283.79999999702,,,65286.20000000298,,65290.20000000298,2021-11-03T09:32:39.654Z,65426.215,1635931890,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
