meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,631.5,623.969,673.864,16284.200000047684,15610.336000047684,16290,2021-10-26T11:55:35.424Z,16421.862,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,16409.799999952316,16405.618,16421.862,66050.20000004768,49628.33800004768,66051.70000004768,2021-10-26T11:56:25.185Z,66165.477,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,66139.20000004768,66131.654,66165.477,313314.5,247149.023,313315.60000002384,2021-10-26T12:00:32.450Z,313350.47,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,313323.89999997616,313316.971,313350.47,317934.89999997616,4584.429999976186,317949.2000000477,2021-10-26T12:00:37.083Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,584.3999999761581,623.969,673.864,317934.89999997616,317261.03599997616,317955.60000002384,2021-10-26T12:00:37.090Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,317960.5,,,317960.5,,317960.7999999523,2021-10-26T12:00:37.095Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,317963.60000002384,,,317960.5,,317963.7999999523,2021-10-26T12:00:37.098Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,317967.10000002384,,,317960.5,,317967.39999997616,2021-10-26T12:00:37.101Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,317970.2000000477,,,317960.5,,317970.7000000477,2021-10-26T12:00:37.105Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,317957.39999997616,,,317960.5,,317971.10000002384,2021-10-26T12:00:37.105Z,318066.45,1635249307,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
