meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,1563,1564.06,1616.36,3906,2289.6400000000003,3915,2021-10-29T09:45:57.308Z,4082.46,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,4076,4075.72,4082.46,4954,871.54,4958,2021-10-29T09:45:58.350Z,5382.14,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,5365,5364.52,5382.14,6282,899.8599999999997,6290,2021-10-29T09:45:59.682Z,6315.26,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,6309,6309.1,6315.26,7281,965.7399999999998,7295,2021-10-29T09:46:00.688Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,1466,1564.06,1616.36,7281,5664.64,7295,2021-10-29T09:46:00.689Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,7309,,,7309,,7310,2021-10-29T09:46:00.703Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,7326,,,7309,,7326,2021-10-29T09:46:00.720Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,7343,,,7309,,7344,2021-10-29T09:46:00.736Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,7356,,,7309,,7356,2021-10-29T09:46:00.750Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,7299,,,7309,,7357,2021-10-29T09:46:00.750Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,7364,,,7364,,7365,2021-10-29T09:46:00.758Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,7376,,,7364,,7376,2021-10-29T09:46:00.769Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,7389,,,7364,,7389,2021-10-29T09:46:00.782Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,7397,,,7364,,7397,2021-10-29T09:46:00.790Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,7359,,,7364,,7398,2021-10-29T09:46:00.791Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,7409,,,7409,,7409,2021-10-29T09:46:00.802Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,7415,,,7409,,7415,2021-10-29T09:46:00.809Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,7426,,,7409,,7426,2021-10-29T09:46:00.819Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,7433,,,7409,,7433,2021-10-29T09:46:00.826Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,7403,,,7409,,7436,2021-10-29T09:46:00.829Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,7446,,,7446,,7446,2021-10-29T09:46:00.838Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,7458,,,7446,,7458,2021-10-29T09:46:00.850Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,7463,,,7446,,7464,2021-10-29T09:46:00.857Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_4_3,,skipped,5,7476,,,7446,,7476,2021-10-29T09:46:00.869Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_4,,completion,5,7441,,,7446,,7477,2021-10-29T09:46:00.870Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_5_0,,skipped,6,7491,,,7491,,7492,2021-10-29T09:46:00.885Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_5_1,,skipped,6,7498,,,7491,,7498,2021-10-29T09:46:00.891Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_5_2,,skipped,6,7507,,,7491,,7508,2021-10-29T09:46:00.901Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_5_3,,skipped,6,7514,,,7491,,7514,2021-10-29T09:46:00.906Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_5,,completion,6,7479,,,7491,,7514,2021-10-29T09:46:00.907Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_6_0,,skipped,7,7526,,,7526,,7526,2021-10-29T09:46:00.919Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_6_1,,skipped,7,7530,,,7526,,7531,2021-10-29T09:46:00.924Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_6_2,,skipped,7,7541,,,7526,,7542,2021-10-29T09:46:00.934Z,8081.48,1635459224,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
