meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,1002,994.512,1111.317,11285.40000000596,10174.083000005961,11292.199999988079,2021-11-10T08:46:06.116Z,11426.89,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,11398.300000011921,11393.67,11426.89,29621.09999999404,18194.20999999404,29622.69999998808,2021-11-10T08:46:24.447Z,29704.496,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,29698.40000000596,29688.263,29704.496,41501.40000000596,11796.904000005961,41502.59999999404,2021-11-10T08:46:36.327Z,41522.316,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,41511,41506.49,41522.316,48884,7361.684000000001,48885.19999998808,2021-11-10T08:46:43.709Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,917.9000000059605,994.512,1111.317,48884,47772.683,48891.80000001192,2021-11-10T08:46:43.716Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,48897.30000001192,,,48897.30000001192,,48897.59999999404,2021-11-10T08:46:43.722Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,48901.09999999404,,,48897.30000001192,,48901.40000000596,2021-11-10T08:46:43.726Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,48904.69999998808,,,48897.30000001192,,48905,2021-11-10T08:46:43.729Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,48907.90000000596,,,48897.30000001192,,48908.59999999404,2021-11-10T08:46:43.733Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,48893.90000000596,,,48897.30000001192,,48909.09999999404,2021-11-10T08:46:43.733Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,48912.59999999404,,,48912.69999998808,,48912.90000000596,2021-11-10T08:46:43.737Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,48915.30000001192,,,48912.69999998808,,48915.5,2021-11-10T08:46:43.740Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,48918.5,,,48912.69999998808,,48918.69999998808,2021-11-10T08:46:43.743Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,48921.09999999404,,,48912.69999998808,,48921.40000000596,2021-11-10T08:46:43.745Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,48910.09999999404,,,48912.69999998808,,48921.80000001192,2021-11-10T08:46:43.746Z,49217.285,1636533927,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
