meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,304.89999997615814,315.82,332.463,16191.799999952316,15859.336999952317,16196.799999952316,2021-10-26T10:01:18.652Z,16249.461,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,16224.399999976158,16232.977,16249.461,65347.39999997616,49097.93899997616,65348.299999952316,2021-10-26T10:02:07.804Z,65366.894,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,65365.59999990463,65350.582,65366.894,92298.19999992847,26931.305999928474,92299.09999990463,2021-10-26T10:02:34.755Z,92317.368,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,92304.79999995232,92300.823,92317.368,98041.19999992847,5723.831999928472,98042,2021-10-26T10:02:40.498Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,289.6999999284744,315.82,332.463,98041.19999992847,97708.73699992847,98047.09999990463,2021-10-26T10:02:40.503Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,98048.29999995232,,,98048.29999995232,,98048.39999997616,2021-10-26T10:02:40.504Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,98049.09999990463,,,98048.29999995232,,98049.09999990463,2021-10-26T10:02:40.505Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,98049.89999997616,,,98048.29999995232,,98050,2021-10-26T10:02:40.506Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,98050.69999992847,,,98048.29999995232,,98050.89999997616,2021-10-26T10:02:40.507Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,98047.5,,,98048.29999995232,,98051,2021-10-26T10:02:40.507Z,98117.548,1635242456,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
