meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,2815,2815.46,2874.44,11721,8846.56,11735,2021-10-27T19:36:50.144Z,11923.34,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,11890,11889.6,11923.34,23862,11938.66,23876,2021-10-27T19:37:02.284Z,24005.1,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,23994,23994.36,24005.1,45940,21934.9,45945,2021-10-27T19:37:24.353Z,45952.04,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,back,response,1,45951,45951.78,45952.04,51815,5862.959999999999,51821,2021-10-27T19:37:30.230Z,51845.22,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,2670,2815.46,2874.44,51815,48940.56,51823,2021-10-27T19:37:30.231Z,51845.22,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,51831,,,51831,,51832,2021-10-27T19:37:30.240Z,51845.22,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,51839,,,51831,,51839,2021-10-27T19:37:30.248Z,51845.22,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,cont,response,2,51845,51844.66,51845.22,54737,2891.779999999999,54745,2021-10-27T19:37:33.152Z,54753.72,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,cont,response,2,54753,54753.1,54753.72,55706,952.2799999999988,55712,2021-10-27T19:37:34.120Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,51827,51844.66,51845.22,55706,3860.779999999999,55714,2021-10-27T19:37:34.122Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,55723,,,55723,,55724,2021-10-27T19:37:34.132Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,55731,,,55723,,55732,2021-10-27T19:37:34.140Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,55738,,,55723,,55738,2021-10-27T19:37:34.146Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,55744,,,55723,,55744,2021-10-27T19:37:34.153Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,55717,,,55723,,55744,2021-10-27T19:37:34.153Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,55752,,,55752,,55752,2021-10-27T19:37:34.160Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,55756,,,55752,,55756,2021-10-27T19:37:34.165Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,55761,,,55752,,55761,2021-10-27T19:37:34.170Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,55769,,,55752,,55769,2021-10-27T19:37:34.177Z,56022.02,1635363393,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
