meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,970,972.52,1021.48,13700,12678.52,13730,2021-11-01T23:55:40.274Z,13887.06,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,13855,13855.5,13887.06,43246,29358.940000000002,43267,2021-11-01T23:56:09.811Z,43401.14,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,43375,43375.32,43401.14,63761,20359.86,63781,2021-11-01T23:56:30.325Z,63799.34,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,63794,63793.92,63799.34,70997,7197.6600000000035,71013,2021-11-01T23:56:37.556Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,874,972.52,1021.48,70997,69975.52,71014,2021-11-01T23:56:37.558Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,71028,,,71028,,71028,2021-11-01T23:56:37.572Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,71037,,,71028,,71038,2021-11-01T23:56:37.582Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,71046,,,71028,,71046,2021-11-01T23:56:37.590Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,71053,,,71028,,71053,2021-11-01T23:56:37.597Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,71020,,,71028,,71054,2021-11-01T23:56:37.599Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,71063,,,71063,,71064,2021-11-01T23:56:37.607Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,71070,,,71063,,71071,2021-11-01T23:56:37.615Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,71081,,,71063,,71082,2021-11-01T23:56:37.626Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,71087,,,71063,,71088,2021-11-01T23:56:37.631Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,71057,,,71063,,71088,2021-11-01T23:56:37.632Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,71096,,,71096,,71097,2021-11-01T23:56:37.640Z,71365.28,1635810915,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
