meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,641.6000000238419,631.518,648.185,44074.200000047684,43426.015000047686,44081.800000071526,2021-10-24T10:25:44.588Z,44249.057,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,44232.800000071526,44232.39,44249.057,60768.700000047684,16519.643000047683,60773.300000071526,2021-10-24T10:26:01.280Z,60869.218,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,60858.800000071526,60852.551,60869.218,85158.20000004768,24288.982000047683,85164.60000002384,2021-10-24T10:26:25.672Z,85169.704,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,back,response,1,85169.40000009537,85153.037,85169.704,96441.10000002384,11271.396000023844,96449.80000007153,2021-10-24T10:26:36.958Z,96486.597,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,589.3000000715256,631.518,648.185,96441.10000002384,95792.91500002384,96452.80000007153,2021-10-24T10:26:36.960Z,96486.597,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,96461.90000009537,,,96461.90000009537,,96462.10000002384,2021-10-24T10:26:36.970Z,96486.597,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,96464.60000002384,,,96461.90000009537,,96464.70000004768,2021-10-24T10:26:36.972Z,96486.597,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,cont,response,2,96467.40000009537,96469.93,96486.597,97374.90000009537,888.3030000953731,97378.70000004768,2021-10-24T10:26:37.886Z,97388.107,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,cont,response,2,97381.5,97371.44,97388.107,106340.70000004768,8952.59300004768,106345.20000004768,2021-10-24T10:26:46.853Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,96453.80000007153,96469.93,96486.597,106340.70000004768,9854.10300004769,106345.70000004768,2021-10-24T10:26:46.854Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,106349.5,,,106349.60000002384,,106349.80000007153,2021-10-24T10:26:46.858Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,106351.30000007153,,,106349.60000002384,,106351.5,2021-10-24T10:26:46.859Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,106352.70000004768,,,106349.60000002384,,106352.80000007153,2021-10-24T10:26:46.861Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,106354,,,106349.60000002384,,106354.10000002384,2021-10-24T10:26:46.862Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,106347.90000009537,,,106349.60000002384,,106354.30000007153,2021-10-24T10:26:46.862Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,106355.70000004768,,,106355.80000007153,,106355.80000007153,2021-10-24T10:26:46.864Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,106356.70000004768,,,106355.80000007153,,106356.90000009537,2021-10-24T10:26:46.865Z,106572.178,1635071093,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
