meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,2239,2245.74,2279.06,22731,20451.94,22757,2021-10-25T14:09:02.521Z,23157.44,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,23138,23139.3,23157.44,32216,9058.560000000001,32223,2021-10-25T14:09:11.987Z,32538.54,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,32515,32515.22,32538.54,55278,22739.46,55287,2021-10-25T14:09:35.050Z,55299.86,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,back,response,1,55296,55296.2,55299.86,62121,6821.139999999999,62132,2021-10-25T14:09:41.897Z,62154.76,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,2189,2245.74,2279.06,62121,59841.94,62134,2021-10-25T14:09:41.898Z,62154.76,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,62142,,,62142,,62142,2021-10-25T14:09:41.908Z,62154.76,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,62148,,,62142,,62149,2021-10-25T14:09:41.913Z,62154.76,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,cont,response,2,62154,62154.28,62154.76,63716,1561.239999999998,63730,2021-10-25T14:09:43.494Z,63739.54,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,cont,response,2,63739,63738.92,63739.54,64966,1226.4599999999991,64987,2021-10-25T14:09:44.752Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,62138,62154.28,62154.76,64966,2811.239999999998,64988,2021-10-25T14:09:44.753Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,64996,,,64996,,64996,2021-10-25T14:09:44.761Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,65003,,,64996,,65003,2021-10-25T14:09:44.767Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,65008,,,64996,,65008,2021-10-25T14:09:44.773Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,65013,,,64996,,65013,2021-10-25T14:09:44.778Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,64990,,,64996,,65013,2021-10-25T14:09:44.778Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,65020,,,65020,,65020,2021-10-25T14:09:44.784Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,65024,,,65020,,65025,2021-10-25T14:09:44.789Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,65028,,,65020,,65028,2021-10-25T14:09:44.793Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,65036,,,65020,,65036,2021-10-25T14:09:44.800Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,65015,,,65020,,65036,2021-10-25T14:09:44.801Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,65041,,,65041,,65042,2021-10-25T14:09:44.805Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,65045,,,65041,,65045,2021-10-25T14:09:44.809Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,65048,,,65041,,65049,2021-10-25T14:09:44.814Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_4_3,,skipped,5,65054,,,65041,,65054,2021-10-25T14:09:44.819Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_4,,completion,5,65038,,,65041,,65055,2021-10-25T14:09:44.819Z,65297.34,1635170782,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
