meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,406,429.44,446.1,24753,24306.9,24771,2021-11-03T12:02:23.885Z,24831.8,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,24830,24829.34,24831.8,57956,33124.2,57968,2021-11-03T12:02:57.081Z,58013.28,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,58013,58012.96,58013.28,88098,30084.72,88106,2021-11-03T12:03:27.220Z,88110.36,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,back,response,1,88111,88110.22,88110.36,95785,7674.639999999999,95803,2021-11-03T12:03:34.916Z,95810.78,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,369,429.44,446.1,95785,95338.9,95804,2021-11-03T12:03:34.917Z,95810.78,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,95808,,,95808,,95808,2021-11-03T12:03:34.921Z,95810.78,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,95809,,,95808,,95809,2021-11-03T12:03:34.923Z,95810.78,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,cont,response,2,95810,95810.42,95810.78,97690,1879.2200000000012,97694,2021-11-03T12:03:36.808Z,97697,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,cont,response,2,97696,97696.82,97697,101832,4135,101846,2021-11-03T12:03:40.960Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,95806,95810.42,95810.78,101832,6021.220000000001,101846,2021-11-03T12:03:40.960Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,101849,,,101849,,101849,2021-11-03T12:03:40.963Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,101851,,,101849,,101851,2021-11-03T12:03:40.964Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,101853,,,101849,,101853,2021-11-03T12:03:40.967Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,101854,,,101849,,101854,2021-11-03T12:03:40.968Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,101848,,,101849,,101855,2021-11-03T12:03:40.968Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,101856,,,101856,,101856,2021-11-03T12:03:40.969Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,101857,,,101856,,101857,2021-11-03T12:03:40.971Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,101858,,,101856,,101858,2021-11-03T12:03:40.971Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,101859,,,101856,,101860,2021-11-03T12:03:40.973Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,101855,,,101856,,101860,2021-11-03T12:03:40.973Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,101860,,,101860,,101860,2021-11-03T12:03:40.974Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,101861,,,101860,,101861,2021-11-03T12:03:40.975Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,101861,,,101860,,101861,2021-11-03T12:03:40.975Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_4_3,,skipped,5,101862,,,101860,,101862,2021-11-03T12:03:40.976Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_4,,completion,5,101860,,,101860,,101862,2021-11-03T12:03:40.976Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_5_0,,skipped,6,101863,,,101863,,101863,2021-11-03T12:03:40.978Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_5_1,,skipped,6,101865,,,101863,,101865,2021-11-03T12:03:40.978Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_5_2,,skipped,6,101865,,,101863,,101865,2021-11-03T12:03:40.979Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_5_3,,skipped,6,101865,,,101863,,101865,2021-11-03T12:03:40.980Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_5,,completion,6,101863,,,101863,,101866,2021-11-03T12:03:40.980Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_6_0,,skipped,7,101867,,,101867,,101867,2021-11-03T12:03:40.981Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_6_1,,skipped,7,101868,,,101867,,101868,2021-11-03T12:03:40.982Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_6_2,,skipped,7,101868,,,101867,,101868,2021-11-03T12:03:40.982Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_6_3,,skipped,7,101869,,,101867,,101869,2021-11-03T12:03:40.983Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_6,,completion,7,101866,,,101867,,101869,2021-11-03T12:03:40.983Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_7_0,,skipped,8,101870,,,101870,,101871,2021-11-03T12:03:40.984Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_7_1,,skipped,8,101871,,,101870,,101871,2021-11-03T12:03:40.985Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_7_2,,skipped,8,101872,,,101870,,101872,2021-11-03T12:03:40.986Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_7_3,,skipped,8,101873,,,101870,,101873,2021-11-03T12:03:40.987Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_7,,completion,8,101870,,,101870,,101873,2021-11-03T12:03:40.987Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_8_0,,skipped,9,101873,,,101873,,101873,2021-11-03T12:03:40.987Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_8_1,,skipped,9,101874,,,101873,,101874,2021-11-03T12:03:40.988Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_8_2,,skipped,9,101875,,,101873,,101875,2021-11-03T12:03:40.989Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_8_3,,skipped,9,101876,,,101873,,101876,2021-11-03T12:03:40.989Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_8,,completion,9,101873,,,101873,,101876,2021-11-03T12:03:40.989Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_9_0,,skipped,10,101877,,,101877,,101877,2021-11-03T12:03:40.991Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_9_1,,skipped,10,101878,,,101877,,101878,2021-11-03T12:03:40.992Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_9_2,,skipped,10,101878,,,101877,,101878,2021-11-03T12:03:40.992Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_9_3,,skipped,10,101878,,,101877,,101879,2021-11-03T12:03:40.992Z,101968.38,1635940904,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
