meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,2473.6999999284744,2468.942,2518.778,12228.199999928474,9709.421999928474,12232.099999904633,2021-10-25T17:07:29.162Z,12511.672,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,12488.899999976158,12475.059,12511.672,31426.899999976158,18915.22799997616,31427.599999904633,2021-10-25T17:07:48.352Z,31573.858,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,31558.799999952316,31558.492,31573.858,44121.39999997616,12547.541999976158,44122.299999952316,2021-10-25T17:08:01.047Z,44130.434,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,44127.199999928474,44122.591,44130.434,49039,4908.565999999999,49039.799999952316,2021-10-25T17:08:05.964Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,1244,2468.942,2518.778,49039,46520.222,49042.39999997616,2021-10-25T17:08:05.967Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,49045.09999990463,,,49045.09999990463,,49045.299999952316,2021-10-25T17:08:05.970Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,49046.89999997616,,,49045.09999990463,,49047,2021-10-25T17:08:05.972Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,49048.799999952316,,,49045.09999990463,,49048.89999997616,2021-10-25T17:08:05.973Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,49050.5,,,49045.09999990463,,49050.59999990463,2021-10-25T17:08:05.975Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,49043.5,,,49045.09999990463,,49051,2021-10-25T17:08:05.975Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,49052.39999997616,,,49052.39999997616,,49052.59999990463,2021-10-25T17:08:05.977Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,49053.5,,,49052.39999997616,,49053.59999990463,2021-10-25T17:08:05.978Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,49063.39999997616,,,49052.39999997616,,49063.5,2021-10-25T17:08:05.988Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,49064.59999990463,,,49052.39999997616,,49064.699999928474,2021-10-25T17:08:05.989Z,49149.034,1635181625,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
