meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,408.5,400.264,433.527,2955.2000000476837,2521.6730000476837,2956.8000000715256,2021-10-25T19:13:09.952Z,3065.19,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,3051.2000000476837,3048.794,3065.19,21004.100000023842,17938.910000023843,21006,2021-10-25T19:13:28.001Z,21037.159,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,21032.5,21020.934,21037.159,41031.800000071526,19994.641000071526,41033.300000071526,2021-10-25T19:13:48.033Z,41041.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,41038.10000002384,41032.725,41041.124,49724.800000071526,8683.676000071522,49725.60000002384,2021-10-25T19:13:56.726Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,388.2000000476837,400.264,433.527,49724.800000071526,49291.273000071524,49729.5,2021-10-25T19:13:56.729Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,49732.200000047684,,,49732.200000047684,,49732.200000047684,2021-10-25T19:13:56.732Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,49733.90000009537,,,49732.200000047684,,49734,2021-10-25T19:13:56.734Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,49737,,,49732.200000047684,,49737.200000047684,2021-10-25T19:13:56.737Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,49739,,,49732.200000047684,,49739.10000002384,2021-10-25T19:13:56.739Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,49730.60000002384,,,49732.200000047684,,49739.5,2021-10-25T19:13:56.740Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,49741.5,,,49741.5,,49741.60000002384,2021-10-25T19:13:56.742Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,49742.700000047684,,,49741.5,,49742.90000009537,2021-10-25T19:13:56.743Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,49744.300000071526,,,49741.5,,49744.5,2021-10-25T19:13:56.744Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,49745.60000002384,,,49741.5,,49745.700000047684,2021-10-25T19:13:56.746Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,49740.200000047684,,,49741.5,,49746,2021-10-25T19:13:56.746Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,49747.5,,,49747.5,,49747.60000002384,2021-10-25T19:13:56.748Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,49749,,,49747.5,,49749,2021-10-25T19:13:56.749Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,49750.60000002384,,,49747.5,,49750.700000047684,2021-10-25T19:13:56.751Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,49753.60000002384,,,49747.5,,49753.800000071526,2021-10-25T19:13:56.754Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,49746.5,,,49747.5,,49754,2021-10-25T19:13:56.754Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,49755.800000071526,,,49755.800000071526,,49755.90000009537,2021-10-25T19:13:56.756Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,49757.10000002384,,,49755.800000071526,,49757.10000002384,2021-10-25T19:13:56.757Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,49758.300000071526,,,49755.800000071526,,49758.40000009537,2021-10-25T19:13:56.758Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_4_3,,skipped,5,49759.800000071526,,,49755.800000071526,,49759.800000071526,2021-10-25T19:13:56.760Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_4,,completion,5,49754.60000002384,,,49755.800000071526,,49760.10000002384,2021-10-25T19:13:56.760Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_5_0,,skipped,6,49761.60000002384,,,49761.60000002384,,49761.700000047684,2021-10-25T19:13:56.762Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_5_1,,skipped,6,49763,,,49761.60000002384,,49763.10000002384,2021-10-25T19:13:56.763Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_5_2,,skipped,6,49764.200000047684,,,49761.60000002384,,49764.300000071526,2021-10-25T19:13:56.764Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_5_3,,skipped,6,49765.700000047684,,,49761.60000002384,,49765.800000071526,2021-10-25T19:13:56.766Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_5,,completion,6,49760.60000002384,,,49761.60000002384,,49765.90000009537,2021-10-25T19:13:56.766Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_6_0,,skipped,7,49767.60000002384,,,49767.60000002384,,49767.700000047684,2021-10-25T19:13:56.768Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_6_1,,skipped,7,49768.90000009537,,,49767.60000002384,,49768.90000009537,2021-10-25T19:13:56.769Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_6_2,,skipped,7,49770.40000009537,,,49767.60000002384,,49770.5,2021-10-25T19:13:56.770Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_6_3,,skipped,7,49771.60000002384,,,49767.60000002384,,49771.700000047684,2021-10-25T19:13:56.772Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_6,,completion,7,49766.5,,,49767.60000002384,,49771.90000009537,2021-10-25T19:13:56.772Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_7_0,,skipped,8,49774.60000002384,,,49774.700000047684,,49774.800000071526,2021-10-25T19:13:56.775Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_7_1,,skipped,8,49775.800000071526,,,49774.700000047684,,49776,2021-10-25T19:13:56.776Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_7_2,,skipped,8,49777.200000047684,,,49774.700000047684,,49777.200000047684,2021-10-25T19:13:56.777Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_7_3,,skipped,8,49778.40000009537,,,49774.700000047684,,49778.5,2021-10-25T19:13:56.778Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_7,,completion,8,49773.5,,,49774.700000047684,,49778.60000002384,2021-10-25T19:13:56.779Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_8_0,,skipped,9,49780.200000047684,,,49780.200000047684,,49780.300000071526,2021-10-25T19:13:56.780Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_8_1,,skipped,9,49781.40000009537,,,49780.200000047684,,49781.40000009537,2021-10-25T19:13:56.781Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_8_2,,skipped,9,49782.700000047684,,,49780.200000047684,,49782.90000009537,2021-10-25T19:13:56.783Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_8_3,,skipped,9,49784.200000047684,,,49780.200000047684,,49784.300000071526,2021-10-25T19:13:56.784Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_8,,completion,9,49779.10000002384,,,49780.200000047684,,49784.5,2021-10-25T19:13:56.785Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_9_0,,skipped,10,49786.5,,,49786.5,,49786.700000047684,2021-10-25T19:13:56.787Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_9_1,,skipped,10,49788,,,49786.5,,49788.200000047684,2021-10-25T19:13:56.788Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_9_2,,skipped,10,49789.40000009537,,,49786.5,,49789.40000009537,2021-10-25T19:13:56.789Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_9_3,,skipped,10,49790.800000071526,,,49786.5,,49790.90000009537,2021-10-25T19:13:56.791Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_9,,completion,10,49785.300000071526,,,49786.5,,49791.10000002384,2021-10-25T19:13:56.791Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_10_0,,skipped,11,49792.800000071526,,,49792.800000071526,,49792.90000009537,2021-10-25T19:13:56.793Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_10_1,,skipped,11,49795.300000071526,,,49792.800000071526,,49795.40000009537,2021-10-25T19:13:56.795Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_10_2,,skipped,11,49796.60000002384,,,49792.800000071526,,49796.800000071526,2021-10-25T19:13:56.797Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_10_3,,skipped,11,49797.90000009537,,,49792.800000071526,,49798,2021-10-25T19:13:56.798Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_10,,completion,11,49791.60000002384,,,49792.800000071526,,49798.300000071526,2021-10-25T19:13:56.798Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_11_0,,skipped,12,49802.60000002384,,,49802.700000047684,,49802.90000009537,2021-10-25T19:13:56.803Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_11_1,,skipped,12,49805.300000071526,,,49802.700000047684,,49805.40000009537,2021-10-25T19:13:56.805Z,49902.124,1635188870,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
