meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,686.6999999999534,671.834,738.444,39091.80000000005,38353.35600000004,39099.5,2021-10-26T19:09:46.793Z,39216.858,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,39213.59999999986,39200.24,39216.858,48253.59999999986,9036.74199999986,48254.80000000005,2021-10-26T19:09:55.948Z,48373.306,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,48340,48324.83,48373.306,62220,13846.694000000003,62221.30000000005,2021-10-26T19:10:09.915Z,62243.958,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,62229.59999999986,62227.933,62243.958,65367.09999999986,3123.1419999998616,65368.39999999991,2021-10-26T19:10:13.062Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,641.5,671.834,738.444,65367.09999999986,64628.65599999986,65372.30000000005,2021-10-26T19:10:13.066Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,65377.30000000005,,,65377.30000000005,,65377.59999999986,2021-10-26T19:10:13.071Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,65381.09999999986,,,65377.30000000005,,65381.30000000005,2021-10-26T19:10:13.075Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,65384.80000000005,,,65377.30000000005,,65385.09999999986,2021-10-26T19:10:13.079Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,65388.5,,,65377.30000000005,,65388.89999999991,2021-10-26T19:10:13.083Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,65373.89999999991,,,65377.30000000005,,65389.5,2021-10-26T19:10:13.083Z,65507.322,1635275335,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
