meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,610,603.09,636.309,6884,6247.691,6888.899999976158,2021-10-25T16:54:39.854Z,7023.989,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,7007.600000023842,7007.688,7023.989,10945.799999952316,3921.8109999523167,10946.5,2021-10-25T16:54:43.911Z,11031.565,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,11025.399999976158,11024.032,11031.565,36659.89999997616,25628.334999976156,36660.89999997616,2021-10-25T16:55:09.616Z,36672.704,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,36666.60000002384,36663.956,36672.704,43434.89999997616,6762.19599997616,43435.799999952316,2021-10-25T16:55:16.391Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,566.2000000476837,603.09,636.309,43434.89999997616,42798.59099997616,43440.89999997616,2021-10-25T16:55:16.396Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,43442.60000002384,,,43442.60000002384,,43442.700000047684,2021-10-25T16:55:16.398Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,43443.60000002384,,,43442.60000002384,,43443.700000047684,2021-10-25T16:55:16.399Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,43444.89999997616,,,43442.60000002384,,43444.89999997616,2021-10-25T16:55:16.400Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,43445.89999997616,,,43442.60000002384,,43445.89999997616,2021-10-25T16:55:16.401Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,43441.5,,,43442.60000002384,,43446.200000047684,2021-10-25T16:55:16.401Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,43447.39999997616,,,43447.39999997616,,43447.5,2021-10-25T16:55:16.402Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,43448.200000047684,,,43447.39999997616,,43448.299999952316,2021-10-25T16:55:16.403Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,43449.10000002384,,,43447.39999997616,,43449.299999952316,2021-10-25T16:55:16.404Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,43450,,,43447.39999997616,,43450.10000002384,2021-10-25T16:55:16.405Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,43446.60000002384,,,43447.39999997616,,43450.200000047684,2021-10-25T16:55:16.405Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,43451.200000047684,,,43451.200000047684,,43451.299999952316,2021-10-25T16:55:16.406Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,43452,,,43451.200000047684,,43452.10000002384,2021-10-25T16:55:16.407Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,43466.700000047684,,,43451.200000047684,,43466.799999952316,2021-10-25T16:55:16.422Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,43468.200000047684,,,43451.200000047684,,43468.299999952316,2021-10-25T16:55:16.423Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,43450.5,,,43451.200000047684,,43468.5,2021-10-25T16:55:16.423Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_4_0,,skipped,5,43469.60000002384,,,43469.60000002384,,43469.700000047684,2021-10-25T16:55:16.425Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_4_1,,skipped,5,43470.60000002384,,,43469.60000002384,,43470.60000002384,2021-10-25T16:55:16.426Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_4_2,,skipped,5,43471.5,,,43469.60000002384,,43471.60000002384,2021-10-25T16:55:16.427Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_4_3,,skipped,5,43472.299999952316,,,43469.60000002384,,43472.39999997616,2021-10-25T16:55:16.427Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_4,,completion,5,43468.799999952316,,,43469.60000002384,,43472.5,2021-10-25T16:55:16.427Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_5_0,,skipped,6,43473.5,,,43473.5,,43473.60000002384,2021-10-25T16:55:16.429Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_5_1,,skipped,6,43474.39999997616,,,43473.5,,43474.39999997616,2021-10-25T16:55:16.429Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_5_2,,skipped,6,43475.200000047684,,,43473.5,,43475.200000047684,2021-10-25T16:55:16.430Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_5_3,,skipped,6,43476,,,43473.5,,43476.10000002384,2021-10-25T16:55:16.431Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_5,,completion,6,43472.799999952316,,,43473.5,,43476.200000047684,2021-10-25T16:55:16.431Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_6_0,,skipped,7,43477.200000047684,,,43477.200000047684,,43477.299999952316,2021-10-25T16:55:16.432Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_6_1,,skipped,7,43478,,,43477.200000047684,,43478,2021-10-25T16:55:16.433Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_6_2,,skipped,7,43478.799999952316,,,43477.200000047684,,43478.799999952316,2021-10-25T16:55:16.434Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_6_3,,skipped,7,43479.89999997616,,,43477.200000047684,,43479.89999997616,2021-10-25T16:55:16.435Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_6,,completion,7,43476.39999997616,,,43477.200000047684,,43480.10000002384,2021-10-25T16:55:16.435Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_7_0,,skipped,8,43482,,,43482,,43482,2021-10-25T16:55:16.437Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_7_1,,skipped,8,43482.799999952316,,,43482,,43482.89999997616,2021-10-25T16:55:16.438Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_7_2,,skipped,8,43483.60000002384,,,43482,,43483.700000047684,2021-10-25T16:55:16.439Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_7_3,,skipped,8,43484.60000002384,,,43482,,43484.60000002384,2021-10-25T16:55:16.440Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_7,,completion,8,43480.39999997616,,,43482,,43484.700000047684,2021-10-25T16:55:16.440Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_8_0,,skipped,9,43485.700000047684,,,43485.700000047684,,43485.799999952316,2021-10-25T16:55:16.441Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_8_1,,skipped,9,43486.5,,,43485.700000047684,,43486.60000002384,2021-10-25T16:55:16.442Z,43553.543,1635180875,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
