Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,10.0,7.0,4.0,"[1, 1, 2, 2]",98.0,1290.6800000001676,0,19.0
1,11.0,7.0,4.0,"[1, 1, 2, 2]",96.0,804.7600000002421,0,19.0
1,12.0,7.0,4.0,"[1, 1, 2, 2]",98.0,998.8799999998882,0,19.0
1,13.0,7.0,4.0,"[1, 1, 2, 2]",96.0,1441.5800000000745,0,19.0
1,14.0,7.0,4.0,"[1, 1, 2, 2]",100.0,901.440000000177,0,19.0
1,15.0,7.0,4.0,"[1, 1, 2, 2]",100.0,1052.2999999998137,0,19.0
1,16.0,7.0,4.0,"[1, 1, 2, 2]",92.0,763.2000000001863,0,19.0
1,17.0,7.0,4.0,"[1, 1, 2, 2]",92.0,794.4599999999627,0,19.0
1,18.0,7.0,4.0,"[1, 1, 2, 2]",90.0,1000.2199999999721,0,19.0
1,19.0,7.0,4.0,"[1, 1, 2, 2]",88.0,827.7600000000093,0,19.0
1,0.0,8.0,4.0,"[0, 1, 1, 0]",98.0,1928.379999999888,0,4.0
1,1.0,8.0,4.0,"[0, 1, 1, 0]",100.0,767.6800000001676,0,4.0
1,2.0,8.0,4.0,"[0, 1, 1, 0]",96.0,759.7399999999907,0,4.0
1,3.0,8.0,4.0,"[0, 1, 1, 0]",90.0,924.1999999997206,0,4.0
1,4.0,8.0,4.0,"[0, 1, 1, 0]",94.0,750.4200000001583,0,4.0
1,5.0,8.0,4.0,"[0, 1, 1, 0]",118.0,718.8000000000466,0,4.0
1,6.0,8.0,4.0,"[0, 1, 1, 0]",116.0,938.4800000002142,0,4.0
1,7.0,8.0,4.0,"[0, 1, 1, 0]",84.0,1160.880000000121,0,4.0
1,8.0,8.0,4.0,"[0, 1, 1, 0]",94.0,829.2800000000279,0,4.0
1,9.0,8.0,4.0,"[0, 1, 1, 0]",102.0,791.7800000002608,0,4.0
1,10.0,8.0,4.0,"[0, 1, 1, 0]",84.0,760.4399999999441,0,4.0
1,11.0,8.0,4.0,"[0, 1, 1, 0]",78.0,716.679999999702,0,4.0
1,12.0,8.0,4.0,"[0, 1, 1, 0]",74.0,1117.3799999994226,0,4.0
1,13.0,8.0,4.0,"[0, 1, 1, 0]",66.0,1241.7399999997579,0,4.0
1,14.0,8.0,4.0,"[1, 2, 2, 0]",24.0,2778.399999999441,0,24.0
1,15.0,8.0,4.0,"[1, 1, 0, 0]",40.0,1904.339999999851,0,16.0
1,16.0,8.0,4.0,"[0, 1, 1, 0]",100.0,2597.039999999572,0,4.0
1,17.0,8.0,4.0,"[0, 1, 1, 0]",84.0,818.2399999997579,0,4.0
1,18.0,8.0,4.0,"[0, 1, 1, 0]",84.0,2429.2400000002235,0,4.0
1,19.0,8.0,4.0,"[0, 1, 1, 0]",92.0,1021.7600000002421,0,4.0
1,0.0,9.0,4.0,"[1, 0, 0, 1]",80.0,5767.520000000484,0,10.0
1,1.0,9.0,4.0,"[0, 1, 1, 0]",98.0,1917.9799999999814,0,4.0
1,2.0,9.0,4.0,"[0, 1, 1, 0]",110.0,881.679999999702,0,4.0
1,3.0,9.0,4.0,"[0, 1, 1, 0]",92.0,798.6599999996834,0,4.0
1,4.0,9.0,4.0,"[0, 1, 1, 0]",110.0,1043.6400000001304,0,4.0
1,5.0,9.0,4.0,"[0, 1, 1, 0]",98.0,964.9600000004284,0,4.0
1,6.0,9.0,4.0,"[0, 1, 1, 0]",88.0,1092.7199999997392,0,4.0
1,7.0,9.0,4.0,"[0, 1, 1, 0]",118.0,1074.3799999998882,0,4.0
1,8.0,9.0,4.0,"[0, 1, 1, 0]",88.0,864.9599999999627,0,4.0
